0,Cruz Cakes,5 Torta Milhojas | 3 Torta Camilo | 5 Torta Camilo | 4 Torta Camilo
1,Dulces DCCianos,3 DCCheesecake
2,Dulces DCCianos,5 DCChocolate Brownies | 4 DCCupcakes
3,Ossa Burgers,3 AI Burger | 3 American Burger
4,Potato World,3 Papas Fritas Grandes | 3 Papas Horneadas | 1 Papas Rellenas | 5 Papas Horneadas
5,Ossa Burgers,3 Bacon Burger Doble | 1 DCCheese Burger | 3 DCCheese Burger
6,Papa Joaquin's,2 Pizza de Pepperoni
7,Cruz Cakes,5 Torta Milhojas
8,Ossa Burgers,1 Bacon Burger Doble
9,Cruz Cakes,4 Torta Camilo | 2 Torta Milhojas | 3 Carrot Cake | 1 Carrot Cake | 5 Torta Milhojas
10,Ossa Burgers,5 AI Burger | 2 AI Burger | 2 American Burger
11,Cruz Cakes,2 Torta Camilo
12,Papa Joaquin's,4 Papa Combo | 2 Papa Combo
13,Dulces DCCianos,1 DCCheesecake
14,Cruz Cakes,2 Carrot Cake | 5 Carrot Cake | 2 Torta Camilo | 2 Torta Milhojas
15,Ossa Burgers,2 Onion Barbecue Burger | 5 AI Burger | 3 American Burger | 5 Bacon Burger Doble
16,Papa Joaquin's,5 Pizza Super Spicy Jalapeño | 2 Pizza The Vegan Queen
17,Ossa Burgers,2 Onion Barbecue Burger | 2 Onion Barbecue Burger | 1 AI Burger | 3 AI Burger
18,Ossa Burgers,1 Onion Barbecue Burger
19,Papa Joaquin's,5 Pizza Super Spicy Jalapeño | 5 Pizza Pollo Barbecue
20,Potato World,2 Papas Fritas Grandes | 5 Pastel de Papa
21,Papa Joaquin's,2 Pizza Pollo Barbecue | 5 Pizza Pollo Barbecue | 1 Pizza Pollo Barbecue
22,Dulces DCCianos,4 DCCupcakes | 4 DCCroissant
23,Ossa Burgers,5 American Burger
24,Cruz Cakes,3 Torta Camilo | 2 Cupcakes | 5 Torta Camilo | 1 Torta Camilo | 2 Torta Milhojas
25,Cruz Cakes,3 Carrot Cake
26,Potato World,4 Pastel de Papa | 1 Papas Fritas Grandes | 4 Papas Fritas Grandes
27,Dulces DCCianos,2 DCCookies de chocolate | 2 DCCookies de chocolate | 2 DCCheesecake
28,Potato World,3 Papas Fritas Grandes
29,La pica de la Cote,1 Cazuela de Pavo | 2 Terremoto | 3 Asado al palo | 3 Mote con Huesillos | 5 Empanadas
30,Cruz Cakes,1 Torta Milhojas | 3 Carrot Cake | 4 Torta Milhojas
31,La pica de la Cote,5 Pastel de Choclo | 4 Mote con Huesillos | 5 Terremoto | 4 Cazuela de Pavo
32,La pica de la Cote,5 Terremoto
33,Potato World,3 Papas Horneadas | 4 Papas Horneadas | 4 Papas Fritas Pequeñas
34,Papa Joaquin's,1 Papa Combo | 2 Pizza Pollo Barbecue | 4 Pizza Pollo Barbecue | 2 Papa Combo | 5 Pizza de Pepperoni
35,La pica de la Cote,5 Empanadas
36,Potato World,3 Papas Rellenas | 2 Pastel de Papa
37,Cruz Cakes,2 Torta Milhojas | 1 Carrot Cake | 5 Carrot Cake | 3 Torta Milhojas
38,Cruz Cakes,2 Torta Camilo | 5 Torta Milhojas | 1 Torta Milhojas | 3 Carrot Cake
39,Dulces DCCianos,3 DCCookies de chocolate | 5 DCCheesecake
40,Papa Joaquin's,4 Papa Combo
41,Papa Joaquin's,5 Pizza Super Spicy Jalapeño | 5 Pizza Super Spicy Jalapeño | 4 Pizza Super Spicy Jalapeño | 2 Pizza The Vegan Queen
42,Cruz Cakes,4 Torta Camilo | 1 Cupcakes
43,Potato World,3 Papas Fritas Grandes | 3 Pastel de Papa | 1 Papas Rellenas
44,Potato World,3 Pastel de Papa | 2 Papas Horneadas
45,Potato World,1 Pastel de Papa
46,La pica de la Cote,4 Asado al palo | 1 Mote con Huesillos | 3 Cazuela de Pavo | 5 Pastel de Choclo | 4 Cazuela de Pavo
47,Cruz Cakes,4 Torta Milhojas
48,Ossa Burgers,5 Onion Barbecue Burger | 1 AI Burger | 1 Bacon Burger Doble
